molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL214834,CHEMBL214834,CC(C)(C)c1ccc(-c2c(C(=O)O)sc(C(F)(F)F)c2C#N)cc1,,6.875,2,6.64,7.11,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL214844,CHEMBL214844,CCc1c(C#N)c(-c2ccc(-c3ccc(C)cc3)cc2)c(C(=O)O)n1C,,6.38,1,6.38,6.38,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL214903,CHEMBL214903,CCc1c(C#N)c(-c2ccc(-c3ccccc3C)cc2)c(C(=O)O)n1C,,6.285,2,6.0,6.57,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL215013,CHEMBL215013,CCc1c(C#N)c(-c2ccc(-c3ccccc3OC)cc2)c(C(=O)O)n1C,,6.295,2,6.04,6.55,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL215090,CHEMBL215090,CCc1c(C#N)c(-c2ccc(-c3ccccc3SC)cc2)c(C(=O)O)n1C,,7.37,2,7.24,7.5,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL215255,CHEMBL215255,CCc1c(C#N)c(-c2ccc(-c3cccc(OC)c3)cc2)c(C(=O)O)n1C,,6.220000000000001,2,6.03,6.41,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL215272,CHEMBL215272,Cc1c(C#N)c(-c2ccc(-c3ccccc3)cc2)c(C(=O)O)n1C,,6.46,2,6.41,6.51,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL215574,CHEMBL215574,CCc1c(C#N)c(-c2ccc(-c3cccc(F)c3)cc2)c(C(=O)O)n1C,,6.37,1,6.37,6.37,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL215575,CHEMBL215575,CCc1c(C#N)c(-c2ccc(-c3ccccc3F)cc2)c(C(=O)O)n1C,,6.9,2,6.84,6.96,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL215877,CHEMBL215877,CCc1c(C#N)c(-c2ccc(-c3cccc(C)c3)cc2)c(C(=O)O)n1C,,6.01,1,6.01,6.01,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL217074,CHEMBL217074,CCc1c(C#N)c(-c2ccc(-c3cccc(Cl)c3)cc2)c(C(=O)O)n1C,,6.390000000000001,2,6.05,6.73,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL217111,CHEMBL217111,CC(C)(C)c1ccc(-c2c(C(=O)O)sc(S(C)(=O)=O)c2C#N)cc1,,6.48,1,6.48,6.48,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL218347,CHEMBL218347,CN(C)c1sc(C(=O)O)c(-c2ccc(C(C)(C)C)cc2)c1C#N,,6.75,1,6.75,6.75,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL222519,CHEMBL222519,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc(O)c(O)nc12,NBQX,6.63,2,6.58,6.68,Ki,B,cell-based format;single protein format,mixed,8;9,D;H,2002;2005,
CHEMBL2441067,CHEMBL2441067,O=S1(=O)NCN(C2CC2)c2ccc(F)cc21,,6.09,3,6.09,6.46,EC50;Kd,B,cell-based format;single protein format,mixed,9,D,2014;2018,
CHEMBL276815,CHEMBL276815,Cc1onc(O)c1C[C@H](N)C(=O)O,(S)-AMPA,7.375,2,6.97,7.78,Ki,B,cell-based format,cell_based,8;9,D;H,1997;2005,
CHEMBL3088070,CHEMBL3139334,O=C(O)[C@@H]1C[C@H]2C[C@@H](Oc3cc(-c4ccc(Cl)cc4)ccc3-c3nnn[nH]3)CC[C@H]2CN1,,8.52,1,8.52,8.52,Ki,B,single protein format,single_protein,9,D,2013,
CHEMBL3088060,CHEMBL3139412,O=C(O)[C@@H]1C[C@H]2C[C@@H](Oc3ccc(Cl)cc3-c3nnn[nH]3)CC[C@H]2CN1,,6.4,1,6.4,6.4,Ki,B,single protein format,single_protein,9,D,2013,
CHEMBL331644,CHEMBL331644,N[C@@H](Cn1nc(Br)c(=O)[nH]c1=O)C(=O)O,,7.71,1,7.71,7.71,Ki,B,cell-based format,cell_based,9,D,1997,
CHEMBL331696,CHEMBL331696,N[C@@H](Cn1nc(Cl)c(=O)[nH]c1=O)C(=O)O,,7.78,1,7.78,7.78,Ki,B,cell-based format,cell_based,9,D,1997,
CHEMBL333964,CHEMBL333964,N[C@@H](Cn1cc(Br)c(=O)[nH]c1=O)C(=O)O,,7.0,1,7.0,7.0,Ki,B,cell-based format,cell_based,9,D,1997,
CHEMBL370038,CHEMBL370038,Cn1nnc(-c2onc(O)c2C[C@H](N)C(=O)O)n1,,8.41,1,8.41,8.41,Ki,B,cell-based format,cell_based,8,H,2005,
CHEMBL370941,CHEMBL370941,CCn1nnc(-c2onc(O)c2CC(N)C(=O)O)n1,,7.1,1,7.1,7.1,Ki,B,cell-based format,cell_based,8,H,2005,
CHEMBL3797925,CHEMBL3797925,CCN(Cc1cc(=O)n2c(CCO)c(C)sc2n1)c1ccc(F)cc1,,6.24,1,6.24,6.24,EC50,B,cell-based format,cell_based,9,D,2016,
CHEMBL3799657,CHEMBL3799657,CCN(Cc1cc(=O)n2c([C@@H]3C[C@H]3CO)c(C)sc2n1)c1ccc(F)cc1,,6.375,2,6.06,6.69,EC50,B,cell-based format,cell_based,9,D,2016,
